BUTTER,WITH SALT	100	717	81.11	0.06	0.85
BUTTER,WHIPPED,WITH SALT	100	717	81.11	0.06	0.85
BUTTER OIL,ANHYDROUS	100	876	99.48	0	0.28
CHEESE,BLUE	100	353	28.74	2.34	21.4
CHEESE,BRICK	100	371	29.68	2.79	23.24
CHEESE,BRIE	100	334	27.68	0.45	20.75
CHEESE,CAMEMBERT	100	300	24.26	0.46	19.8
CHEESE,CARAWAY	100	376	29.2	3.06	25.18
CHEESE,CHEDDAR	100	403	33.14	1.28	24.9
CHEESE,CHESHIRE	100	387	30.6	4.78	23.37
CHEESE,COLBY	100	394	32.11	2.57	23.76
CHEESE,COTTAGE,CRMD,LRG OR SML CURD	100	98	4.3	3.38	11.12
CHEESE,COTTAGE,CRMD,W/FRUIT	100	97	3.85	4.61	10.69
CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD	100	72	0.29	6.66	10.34
CHEESE,COTTAGE,LOWFAT,2% MILKFAT	100	86	2.45	3.66	11.83
CHEESE,COTTAGE,LOWFAT,1% MILKFAT	100	72	1.02	2.72	12.39
CHEESE,CREAM	100	342	34.24	4.07	5.93
CHEESE,EDAM	100	357	27.8	1.43	24.99
CHEESE,FETA	100	264	21.28	4.09	14.21
CHEESE,FONTINA	100	389	31.14	1.55	25.6
CHEESE,GJETOST	100	466	29.51	42.65	9.65
CHEESE,GOUDA	100	356	27.44	2.22	24.94
CHEESE,GRUYERE	100	413	32.34	0.36	29.81
CHEESE,LIMBURGER	100	327	27.25	0.49	20.05
CHEESE,MONTEREY	100	373	30.28	0.68	24.48
CHEESE,MOZZARELLA,WHL MILK	100	300	22.35	2.19	22.17
CHEESE,MOZZARELLA,WHL MILK,LO MOIST	100	318	24.64	2.47	21.6
CHEESE,MOZZARELLA,PART SKIM MILK	100	254	15.92	2.77	24.26
CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST	100	302	20.03	3.83	25.96
CHEESE,MUENSTER	100	368	30.04	1.12	23.41
CHEESE,NEUFCHATEL	100	253	22.78	3.59	9.15
CHEESE,PARMESAN,GRATED	100	431	28.61	4.06	38.46
CHEESE,PARMESAN,HARD	100	392	25.83	3.22	35.75
CHEESE,PORT DE SALUT	100	352	28.2	0.57	23.78
CHEESE,PROVOLONE	100	351	26.62	2.14	25.58
CHEESE,RICOTTA,WHOLE MILK	100	174	12.98	3.04	11.26
CHEESE,RICOTTA,PART SKIM MILK	100	138	7.91	5.14	11.39
CHEESE,ROMANO	100	387	26.94	3.63	31.8
CHEESE,ROQUEFORT	100	369	30.64	2	21.54
CHEESE,SWISS	100	380	27.8	5.38	26.93
CHEESE,TILSIT	100	340	25.98	1.88	24.41
CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4	100	375	31.25	1.6	22.15
CHEESE,PAST PROCESS,PIMENTO	100	375	31.2	1.73	22.13
CHEESE,PAST PROCESS,SWISS,W/DI NA PO4	100	334	25.01	2.1	24.73
CHEESE FD,COLD PK,AMERICAN	100	331	24.46	8.32	19.66
CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4	100	330	25.18	7.83	18.4
CHEESE FD,PAST PROCESS,SWISS	100	323	24.14	4.5	21.92
CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4	100	290	21.23	8.73	16.41
CREAM,FLUID,HALF AND HALF	100	130	11.5	4.3	2.96
CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)	100	195	19.31	3.66	2.7
CREAM,FLUID,LT WHIPPING	100	292	30.91	2.96	2.17
CREAM,FLUID,HVY WHIPPING	100	345	37	2.79	2.05
CREAM,WHIPPED,CRM TOPPING,PRESSURIZED	100	257	22.22	12.49	3.2
CREAM,SOUR,RED FAT,CULTURED	100	135	12	4.26	2.94
CREAM,SOUR,CULTURED	100	193	19.73	2.88	2.07
EGGNOG	100	88	4.19	8.05	4.55
SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE	100	178	16.57	4.68	3.25
MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS	100	63	3.46	4.74	3.33
MILK,FILLED,FLUID,W/LAURIC ACID OIL	100	63	3.4	4.74	3.33
CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT	100	136	9.97	11.38	1
CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE	100	136	9.97	11.38	1
CREAM SUBSTITUTE,POWDERED	100	545	35.48	54.88	4.79
DESSERT TOPPING,POWDERED	100	577	39.92	52.54	4.9
DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK	100	194	12.72	17.13	3.61
DESSERT TOPPING,PRESSURIZED	100	264	22.3	16.07	0.98
DESSERT TOPPING,SEMI SOLID,FRZ	100	318	25.31	23.05	1.25
SOUR CRM,IMITN,CULTURED	100	208	19.52	6.63	2.4
MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL	100	61	3.41	6.16	1.75
MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D	100	61	3.25	4.8	3.15
MILK,PRODUCER,FLUID,3.7% MILKFAT	100	64	3.66	4.65	3.28
MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D	100	50	1.98	4.8	3.3
MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D	100	51	1.92	4.97	3.48
MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D	100	56	1.98	5.49	3.95
MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D	100	42	0.97	4.99	3.37
MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D	100	43	0.97	4.97	3.48
MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D	100	48	1.17	5.52	3.93
MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)	100	34	0.08	4.96	3.37
MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D	100	37	0.25	5.02	3.57
MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)	100	41	0.25	5.56	3.96
MILK,BTTRMLK,FLUID,CULTURED,LOWFAT	100	40	0.88	4.79	3.31
MILK,LO NA,FLUID	100	61	3.46	4.46	3.1
MILK,DRY,WHL,W/ ADDED VITAMIN D	100	496	26.71	38.42	26.32
MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D	100	362	0.77	51.98	36.16
MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D	100	358	0.72	52.19	35.1
MILK,DRY,NONFAT,CA RED	100	354	0.2	51.8	35.5
MILK,BUTTERMILK,DRIED	100	387	5.78	49	34.3
MILK,CND,COND,SWTND	100	321	8.7	54.4	7.91
MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A	100	134	7.56	10.04	6.81
MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D	100	78	0.2	11.35	7.55
MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D	100	83	3.39	10.34	3.17
MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED VIT A & VITAMIN D	100	76	1.9	12.13	2.99
MILK,CHOC,FLUID,COMM,LOWFAT,W/ ADDED VIT A & VITAMIN D	100	63	1	10.44	3.24
MILK,CHOC BEV,HOT COCOA,HOMEMADE	100	77	2.34	10.74	3.52
MILK,GOAT,FLUID,W/ ADDED VITAMIN D	100	69	4.14	4.45	3.56
MILK,HUMAN,MATURE,FLUID	100	70	4.38	6.89	1.03
MILK,INDIAN BUFFALO,FLUID	100	97	6.89	5.18	3.75
MILK,SHEEP,FLUID	100	108	7	5.36	5.98
MILK SHAKES,THICK CHOC	100	119	2.7	21.15	3.05
MILK SHAKES,THICK VANILLA	100	112	3.03	17.75	3.86
WHEY,ACID,FLUID	100	24	0.09	5.12	0.76
WHEY,ACID,DRIED	100	339	0.54	73.45	11.73
WHEY,SWEET,FLUID	100	27	0.36	5.14	0.85
WHEY,SWEET,DRIED	100	353	1.07	74.46	12.93
YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ	100	61	3.25	4.66	3.47
YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ	100	63	1.55	7.04	5.25
YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ	100	56	0.18	7.68	5.73
YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ	100	85	1.25	13.8	4.93
YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ	100	99	1.15	18.64	3.98
YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ	100	102	1.08	19.05	4.37
YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ	100	105	1.41	18.6	4.86
EGG,WHL,RAW,FRSH	100	143	9.94	0.78	12.57
EGG,WHITE,RAW,FRESH	100	48	0.17	0.73	10.9
EGG,YOLK,RAW,FRSH	100	317	26.54	3.59	15.86
EGG,YOLK,RAW,FROZEN	100	303	25.6	1.15	15.5
EGG,YOLK,RAW,FRZ,SUGARED	100	307	22.75	10.8	13.8
EGG,WHL,CKD,FRIED	100	196	15.31	0.9	13.62
EGG,WHL,CKD,HARD-BOILED	100	155	10.61	1.12	12.58
EGG,WHOLE,COOKED,OMELET	100	157	12.03	0.69	10.57
EGG,WHL,CKD,POACHED	100	142	9.9	0.78	12.52
EGG,WHL,CKD,SCRMBLD	100	167	12.21	2.2	11.09
EGG,WHOLE,DRIED	100	594	40.95	4.95	47.35
EGG,WHL,DRIED,STABILIZED,GLUCOSE RED	100	615	43.95	2.38	48.17
EGG,WHITE,DRIED,FLAKES,GLUCOSE RED	100	351	0.04	4.17	76.92
EGG,WHITE,DRIED,PDR,GLUCOSE RED	100	376	0.04	4.47	82.4
EGG,YOLK,DRIED	100	666	55.8	3.6	34.25
EGG,DUCK,WHOLE,FRESH,RAW	100	185	13.77	1.45	12.81
EGG,GOOSE,WHOLE,FRESH,RAW	100	185	13.27	1.35	13.87
EGG,QUAIL,WHOLE,FRESH,RAW	100	158	11.09	0.41	13.05
EGG,TURKEY,WHL,FRSH,RAW	100	171	11.88	1.15	13.68
EGG SUBSTITUTE,POWDER	100	444	13	21.8	55.5
BUTTER,WITHOUT SALT	100	717	81.11	0.06	0.85
CHEESE,PARMESAN,SHREDDED	100	415	27.34	3.41	37.86
CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4	100	375	31.25	1.6	22.15
CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4	100	334	25.01	2.1	24.73
CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4	100	328	24.6	7.29	19.61
CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4	100	290	21.23	8.73	16.41
MILK,NONFAT,FLUID,WO/ADDED VIT A & VIT D (FAT FREE OR SKIM)	100	34	0.08	4.96	3.37
MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A	100	56	1.98	5.49	3.95
MILK,CND,EVAP,W/ VIT A	100	134	7.56	10.04	6.81
MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D	100	362	0.77	51.98	36.16
MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D	100	358	0.72	52.19	35.1
CHEESE,GOAT,HARD TYPE	100	452	35.59	2.17	30.52
CHEESE,GOAT,SEMISOFT TYPE	100	364	29.84	2.54	21.58
CHEESE,GOAT,SOFT TYPE	100	268	21.08	0.89	18.52
EGG,YOLK,RAW,FRZ,SALTED	100	274	23	1.6	14
CHEESE SUB,MOZZARELLA	100	248	12.22	23.67	11.47
CHEESE FONDUE	100	229	13.47	3.77	14.23
CHEESE SAU,PREP FROM RECIPE	100	197	14.92	5.48	10.33
CHEESE,MEXICAN,QUESO ANEJO	100	373	29.98	4.63	21.44
CHEESE,MEXICAN,QUESO ASADERO	100	356	28.26	2.87	22.6
CHEESE,MEXICAN,QUESO CHIHUAHUA	100	374	29.68	5.56	21.56
CHEESE,LOFAT,CHEDDAR OR COLBY	100	173	7	1.91	24.35
CHEESE,LOW-SODIUM,CHEDDAR OR COLBY	100	398	32.62	1.91	24.35
EGG,WHOLE,RAW,FROZEN	100	148	10.2	1.05	11.95
EGG,WHITE,RAW,FROZEN	100	47	0	1.05	9.8
EGG,WHITE,DRIED	100	382	0	7.8	81.1
MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D	100	50	1.98	4.8	3.3
MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D	100	42	0.97	4.99	3.37
SOUR CREAM,REDUCED FAT	100	181	14.1	7	7
SOUR CREAM,LIGHT	100	138	10.6	7.1	3.5
SOUR CREAM,FAT FREE	100	74	0	15.6	3.1
USDA COMMODITY,CHS,CHEDDAR,RED FAT	100	282	18.3	2	27.2
YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR	100	43	0.18	7.5	3.86
PARMESAN CHS TOPPING,FAT FREE	100	370	5	40	40
CHEESE,CREAM,FAT FREE	100	105	1	7.66	15.69
YOGURT,CHOC,NONFAT MILK	100	112	0	23.53	3.53
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU	100	276	21	9.2	12
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT	100	215	9.5	16.2	16.3
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT	100	148	1	11.7	22.7
KRAFT VELVEETA PAST PROCESS CHS SPRD	100	303	22	9.8	16.3
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT	100	222	10.6	11.8	19.6
KRAFT BREAKSTONE'S RED FAT SOUR CRM	100	152	12	6.5	4.5
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM	100	91	1.3	15.1	4.7
KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT)	100	96	0.8	18.2	3.8
KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT)	100	108	0.8	21.9	3.2
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT)	100	102	0.9	19.9	3.8
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T)	100	55	0.2	9.9	3.4
CREAM,HALF & HALF,FAT FREE	100	59	1.4	9	2.6
REDDI WIP FAT FREE WHIPPED TOPPING	100	149	5	25	3
MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA	100	78	1.9	12.13	2.99
YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER	100	105	1.41	18.6	4.86
CHEESE,PARMESAN,DRY GRATED,RED FAT	100	265	20	1.37	20
CREAM SUB,FLAV,LIQ	100	251	13.5	35.07	0.69
CREAM SUB,FLAV,PDR	100	498	21.47	75.42	0.68
CHEESE,PROVOLONE,RED FAT	100	274	17.6	3.5	24.7
CHEESE,MEXICAN,BLEND,RED FAT	100	282	19.4	3.41	24.69
EGG MIX,USDA CMDTY	100	549	34.5	23.97	35.6
MILK,WHL,3.25% MILKFAT, W/O VIT A & VIT D	100	61	3.27	4.78	3.15
MILK,DRY,WHL,WO/ ADDED VITAMIN D	100	496	26.71	38.42	26.32
MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D	100	135	7.56	10.04	6.81
